"datum","palivo","prodano"
2012-06-15,"diesel",7079
2012-07-15,"diesel",4618
2012-08-15,"diesel",5595
2012-09-15,"diesel",5011
2012-10-15,"diesel",6696
2012-11-15,"diesel",6059
2012-12-15,"diesel",5578
2013-01-15,"diesel",5614
2013-02-15,"diesel",4521
2013-03-15,"diesel",5550
2013-04-15,"diesel",6312
2013-05-15,"diesel",5559
2013-06-15,"diesel",5837
2013-07-15,"diesel",5781
2013-08-15,"diesel",4647
2013-09-15,"diesel",5960
2013-10-15,"diesel",6786
2013-11-15,"diesel",6684
2013-12-15,"diesel",6495
2014-01-15,"diesel",6523
2014-02-15,"diesel",5531
2014-03-15,"diesel",6934
2014-04-15,"diesel",7262
2014-05-15,"diesel",6312
2014-06-15,"diesel",7313
2014-07-15,"diesel",7395
2014-08-15,"diesel",5280
2014-09-15,"diesel",5917
2014-10-15,"diesel",7430
2014-11-15,"diesel",6843
2014-12-15,"diesel",7388
2005-01-15,"cng",NA
2005-02-15,"cng",NA
2005-03-15,"cng",NA
2005-04-15,"cng",NA
2005-05-15,"cng",NA
2005-06-15,"cng",NA
2005-07-15,"cng",NA
2005-08-15,"cng",NA
2005-09-15,"cng",NA
2005-10-15,"cng",NA
2005-11-15,"cng",NA
2005-12-15,"cng",NA
2006-01-15,"cng",NA
2006-02-15,"cng",NA
2006-03-15,"cng",NA
2006-04-15,"cng",NA
2006-05-15,"cng",NA
2006-06-15,"cng",NA
2006-07-15,"cng",NA
2006-08-15,"cng",NA
2006-09-15,"cng",NA
2006-10-15,"cng",NA
2006-11-15,"cng",NA
2006-12-15,"cng",NA
2007-01-15,"cng",1
2007-02-15,"cng",NA
2007-03-15,"cng",1
2007-04-15,"cng",1
2007-05-15,"cng",3
2007-06-15,"cng",2
2007-07-15,"cng",2
2007-08-15,"cng",1
2007-09-15,"cng",NA
2007-10-15,"cng",1
2007-11-15,"cng",12
2007-12-15,"cng",4
2008-01-15,"cng",1
2008-02-15,"cng",NA
2008-03-15,"cng",1
2008-04-15,"cng",9
2008-05-15,"cng",3
2008-06-15,"cng",1
2008-07-15,"cng",1
2008-08-15,"cng",3
2008-09-15,"cng",11
2008-10-15,"cng",28
2008-11-15,"cng",7
2008-12-15,"cng",2
2009-01-15,"cng",5
2009-02-15,"cng",2
2009-03-15,"cng",2
2009-04-15,"cng",13
2009-05-15,"cng",4
2009-06-15,"cng",7
2009-07-15,"cng",7
2009-08-15,"cng",12
2009-09-15,"cng",13
2009-10-15,"cng",25
2009-11-15,"cng",8
2009-12-15,"cng",5
2010-01-15,"cng",2
2010-02-15,"cng",6
2010-03-15,"cng",4
2010-04-15,"cng",12
2010-05-15,"cng",12
2010-06-15,"cng",2
2010-07-15,"cng",25
2010-08-15,"cng",22
2010-09-15,"cng",22
2010-10-15,"cng",18
2010-11-15,"cng",14
2010-12-15,"cng",11
2011-01-15,"cng",2
2011-02-15,"cng",2
2011-03-15,"cng",17
2011-04-15,"cng",19
2011-05-15,"cng",8
2011-06-15,"cng",8
2011-07-15,"cng",44
2011-08-15,"cng",16
2011-09-15,"cng",16
2011-10-15,"cng",27
2011-11-15,"cng",21
2011-12-15,"cng",14
2012-01-15,"cng",17
2012-02-15,"cng",11
2012-03-15,"cng",23
2012-04-15,"cng",30
2012-05-15,"cng",25
2012-06-15,"cng",50
2012-07-15,"cng",31
2012-08-15,"cng",33
2012-09-15,"cng",26
2012-10-15,"cng",52
2012-11-15,"cng",94
2012-12-15,"cng",78
2013-01-15,"cng",29
2013-02-15,"cng",27
2013-03-15,"cng",39
2013-04-15,"cng",33
2013-05-15,"cng",15
2013-06-15,"cng",40
2013-07-15,"cng",43
2013-08-15,"cng",27
2013-09-15,"cng",27
2013-10-15,"cng",36
2013-11-15,"cng",40
2013-12-15,"cng",23
2014-01-15,"cng",51
2014-02-15,"cng",20
2014-03-15,"cng",53
2014-04-15,"cng",68
2014-05-15,"cng",54
2014-06-15,"cng",142
2014-07-15,"cng",177
2014-08-15,"cng",107
2014-09-15,"cng",188
2014-10-15,"cng",236
2014-11-15,"cng",166
2014-12-15,"cng",140
2005-01-15,"lpg",NA
2005-02-15,"lpg",NA
2005-03-15,"lpg",NA
2005-04-15,"lpg",NA
2005-05-15,"lpg",NA
2005-06-15,"lpg",NA
2005-07-15,"lpg",NA
2005-08-15,"lpg",NA
2005-09-15,"lpg",NA
2005-10-15,"lpg",NA
2005-11-15,"lpg",NA
2005-12-15,"lpg",NA
2006-01-15,"lpg",NA
2006-02-15,"lpg",NA
2006-03-15,"lpg",NA
2006-04-15,"lpg",NA
2006-05-15,"lpg",NA
2006-06-15,"lpg",NA
2006-07-15,"lpg",NA
2006-08-15,"lpg",NA
2006-09-15,"lpg",NA
2006-10-15,"lpg",NA
2006-11-15,"lpg",NA
2006-12-15,"lpg",NA
2007-01-15,"lpg",NA
2007-02-15,"lpg",NA
2007-03-15,"lpg",NA
2007-04-15,"lpg",NA
2007-05-15,"lpg",NA
2007-06-15,"lpg",NA
2007-07-15,"lpg",NA
2007-08-15,"lpg",NA
2007-09-15,"lpg",NA
2007-10-15,"lpg",NA
2007-11-15,"lpg",NA
2007-12-15,"lpg",NA
2008-01-15,"lpg",NA
2008-02-15,"lpg",NA
2008-03-15,"lpg",NA
2008-04-15,"lpg",NA
2008-05-15,"lpg",NA
2008-06-15,"lpg",NA
2008-07-15,"lpg",NA
2008-08-15,"lpg",NA
2008-09-15,"lpg",NA
2008-10-15,"lpg",NA
2008-11-15,"lpg",NA
2008-12-15,"lpg",NA
2009-01-15,"lpg",NA
2009-02-15,"lpg",NA
2009-03-15,"lpg",NA
2009-04-15,"lpg",NA
2009-05-15,"lpg",1
2009-06-15,"lpg",NA
2009-07-15,"lpg",1
2009-08-15,"lpg",3
2009-09-15,"lpg",4
2009-10-15,"lpg",1
2009-11-15,"lpg",1
2009-12-15,"lpg",8
2010-01-15,"lpg",4
2010-02-15,"lpg",1
2010-03-15,"lpg",10
2010-04-15,"lpg",4
2010-05-15,"lpg",2
2010-06-15,"lpg",5
2010-07-15,"lpg",8
2010-08-15,"lpg",5
2010-09-15,"lpg",4
2010-10-15,"lpg",NA
2010-11-15,"lpg",2
2010-12-15,"lpg",24
2011-01-15,"lpg",2
2011-02-15,"lpg",3
2011-03-15,"lpg",3
2011-04-15,"lpg",7
2011-05-15,"lpg",16
2011-06-15,"lpg",12
2011-07-15,"lpg",12
2011-08-15,"lpg",13
2011-09-15,"lpg",15
2011-10-15,"lpg",16
2011-11-15,"lpg",9
2011-12-15,"lpg",19
2012-01-15,"lpg",5
2012-02-15,"lpg",6
2012-03-15,"lpg",11
2012-04-15,"lpg",21
2012-05-15,"lpg",17
2012-06-15,"lpg",78
2012-07-15,"lpg",76
2012-08-15,"lpg",36
2012-09-15,"lpg",39
2012-10-15,"lpg",100
2012-11-15,"lpg",77
2012-12-15,"lpg",48
2013-01-15,"lpg",55
2013-02-15,"lpg",27
2013-03-15,"lpg",32
2013-04-15,"lpg",31
2013-05-15,"lpg",32
2013-06-15,"lpg",68
2013-07-15,"lpg",92
2013-08-15,"lpg",48
2013-09-15,"lpg",45
2013-10-15,"lpg",57
2013-11-15,"lpg",71
2013-12-15,"lpg",89
2014-01-15,"lpg",91
2014-02-15,"lpg",98
2014-03-15,"lpg",125
2014-04-15,"lpg",96
2014-05-15,"lpg",102
2014-06-15,"lpg",115
2014-07-15,"lpg",177
2014-08-15,"lpg",93
2014-09-15,"lpg",67
2014-10-15,"lpg",151
2014-11-15,"lpg",195
2014-12-15,"lpg",171
2005-01-15,"e85",NA
2005-02-15,"e85",NA
2005-03-15,"e85",NA
2005-04-15,"e85",NA
2005-05-15,"e85",NA
2005-06-15,"e85",NA
2005-07-15,"e85",NA
2005-08-15,"e85",NA
2005-09-15,"e85",NA
2005-10-15,"e85",NA
2005-11-15,"e85",NA
2005-12-15,"e85",NA
2006-01-15,"e85",NA
2006-02-15,"e85",NA
2006-03-15,"e85",NA
2006-04-15,"e85",NA
2006-05-15,"e85",NA
2006-06-15,"e85",NA
2006-07-15,"e85",NA
2006-08-15,"e85",NA
2006-09-15,"e85",NA
2006-10-15,"e85",NA
2006-11-15,"e85",NA
2006-12-15,"e85",NA
2007-01-15,"e85",NA
2007-02-15,"e85",NA
2007-03-15,"e85",NA
2007-04-15,"e85",NA
2007-05-15,"e85",NA
2007-06-15,"e85",NA
2007-07-15,"e85",NA
2007-08-15,"e85",NA
2007-09-15,"e85",NA
2007-10-15,"e85",NA
2007-11-15,"e85",NA
2007-12-15,"e85",NA
2008-01-15,"e85",NA
2008-02-15,"e85",NA
2008-03-15,"e85",NA
2008-04-15,"e85",NA
2008-05-15,"e85",NA
2008-06-15,"e85",5
2008-07-15,"e85",1
2008-08-15,"e85",4
2008-09-15,"e85",NA
2008-10-15,"e85",1
2008-11-15,"e85",NA
2008-12-15,"e85",1
2009-01-15,"e85",1
2009-02-15,"e85",NA
2009-03-15,"e85",2
2009-04-15,"e85",NA
2009-05-15,"e85",6
2009-06-15,"e85",9
2009-07-15,"e85",4
2009-08-15,"e85",2
2009-09-15,"e85",1
2009-10-15,"e85",1
2009-11-15,"e85",1
2009-12-15,"e85",5
2010-01-15,"e85",3
2010-02-15,"e85",1
2010-03-15,"e85",1
2010-04-15,"e85",1
2010-05-15,"e85",NA
2010-06-15,"e85",3
2010-07-15,"e85",4
2010-08-15,"e85",NA
2010-09-15,"e85",3
2010-10-15,"e85",6
2010-11-15,"e85",6
2010-12-15,"e85",4
2011-01-15,"e85",5
2011-02-15,"e85",23
2011-03-15,"e85",21
2011-04-15,"e85",20
2011-05-15,"e85",17
2011-06-15,"e85",42
2011-07-15,"e85",35
2011-08-15,"e85",42
2011-09-15,"e85",22
2011-10-15,"e85",19
2011-11-15,"e85",54
2011-12-15,"e85",45
2012-01-15,"e85",36
2012-02-15,"e85",60
2012-03-15,"e85",46
2012-04-15,"e85",57
2012-05-15,"e85",63
2012-06-15,"e85",86
2012-07-15,"e85",56
2012-08-15,"e85",51
2012-09-15,"e85",20
2012-10-15,"e85",38
2012-11-15,"e85",45
2012-12-15,"e85",30
2013-01-15,"e85",31
2013-02-15,"e85",24
2013-03-15,"e85",11
2013-04-15,"e85",12
2013-05-15,"e85",4
2013-06-15,"e85",2
2013-07-15,"e85",3
2013-08-15,"e85",1
2013-09-15,"e85",NA
2013-10-15,"e85",8
2013-11-15,"e85",1
2013-12-15,"e85",9
2014-01-15,"e85",NA
2014-02-15,"e85",NA
2014-03-15,"e85",5
2014-04-15,"e85",1
2014-05-15,"e85",2
2014-06-15,"e85",1
2014-07-15,"e85",7
2014-08-15,"e85",NA
2014-09-15,"e85",2
2014-10-15,"e85",2
2014-11-15,"e85",NA
2014-12-15,"e85",NA
2005-01-15,"elektro",NA
2005-02-15,"elektro",NA
2005-03-15,"elektro",NA
2005-04-15,"elektro",NA
2005-05-15,"elektro",NA
2005-06-15,"elektro",NA
2005-07-15,"elektro",NA
2005-08-15,"elektro",NA
2005-09-15,"elektro",NA
2005-10-15,"elektro",NA
2005-11-15,"elektro",NA
2005-12-15,"elektro",NA
2006-01-15,"elektro",NA
2006-02-15,"elektro",NA
2006-03-15,"elektro",NA
2006-04-15,"elektro",NA
2006-05-15,"elektro",NA
2006-06-15,"elektro",NA
2006-07-15,"elektro",NA
2006-08-15,"elektro",NA
2006-09-15,"elektro",NA
2006-10-15,"elektro",NA
2006-11-15,"elektro",NA
2006-12-15,"elektro",NA
2007-01-15,"elektro",NA
2007-02-15,"elektro",NA
2007-03-15,"elektro",NA
2007-04-15,"elektro",NA
2007-05-15,"elektro",NA
2007-06-15,"elektro",NA
2007-07-15,"elektro",NA
2007-08-15,"elektro",NA
2007-09-15,"elektro",NA
2007-10-15,"elektro",NA
2007-11-15,"elektro",NA
2007-12-15,"elektro",NA
2008-01-15,"elektro",NA
2008-02-15,"elektro",NA
2008-03-15,"elektro",NA
2008-04-15,"elektro",NA
2008-05-15,"elektro",NA
2008-06-15,"elektro",NA
2008-07-15,"elektro",NA
2008-08-15,"elektro",NA
2008-09-15,"elektro",NA
2008-10-15,"elektro",NA
2008-11-15,"elektro",NA
2008-12-15,"elektro",NA
2009-01-15,"elektro",NA
2009-02-15,"elektro",NA
2009-03-15,"elektro",NA
2009-04-15,"elektro",NA
2009-05-15,"elektro",NA
2009-06-15,"elektro",NA
2009-07-15,"elektro",4
2009-08-15,"elektro",NA
2009-09-15,"elektro",NA
2009-10-15,"elektro",NA
2009-11-15,"elektro",1
2009-12-15,"elektro",NA
2010-01-15,"elektro",NA
2010-02-15,"elektro",NA
2010-03-15,"elektro",NA
2010-04-15,"elektro",NA
2010-05-15,"elektro",1
2010-06-15,"elektro",1
2010-07-15,"elektro",NA
2010-08-15,"elektro",NA
2010-09-15,"elektro",NA
2010-10-15,"elektro",NA
2010-11-15,"elektro",NA
2010-12-15,"elektro",4
2011-01-15,"elektro",3
2011-02-15,"elektro",NA
2011-03-15,"elektro",12
2011-04-15,"elektro",18
2011-05-15,"elektro",4
2011-06-15,"elektro",6
2011-07-15,"elektro",2
2011-08-15,"elektro",4
2011-09-15,"elektro",NA
2011-10-15,"elektro",NA
2011-11-15,"elektro",4
2011-12-15,"elektro",3
2012-01-15,"elektro",NA
2012-02-15,"elektro",3
2012-03-15,"elektro",1
2012-04-15,"elektro",3
2012-05-15,"elektro",6
2012-06-15,"elektro",8
2012-07-15,"elektro",1
2012-08-15,"elektro",8
2012-09-15,"elektro",14
2012-10-15,"elektro",18
2012-11-15,"elektro",20
2012-12-15,"elektro",7
2013-01-15,"elektro",3
2013-02-15,"elektro",1
2013-03-15,"elektro",3
2013-04-15,"elektro",3
2013-05-15,"elektro",6
2013-06-15,"elektro",2
2013-07-15,"elektro",1
2013-08-15,"elektro",1
2013-09-15,"elektro",NA
2013-10-15,"elektro",5
2013-11-15,"elektro",9
2013-12-15,"elektro",3
2014-01-15,"elektro",3
2014-02-15,"elektro",6
2014-03-15,"elektro",14
2014-04-15,"elektro",13
2014-05-15,"elektro",9
2014-06-15,"elektro",5
2014-07-15,"elektro",21
2014-08-15,"elektro",12
2014-09-15,"elektro",12
2014-10-15,"elektro",30
2014-11-15,"elektro",26
2014-12-15,"elektro",46
2005-01-15,"hybrid",NA
2005-02-15,"hybrid",NA
2005-03-15,"hybrid",NA
2005-04-15,"hybrid",NA
2005-05-15,"hybrid",NA
2005-06-15,"hybrid",NA
2005-07-15,"hybrid",NA
2005-08-15,"hybrid",NA
2005-09-15,"hybrid",NA
2005-10-15,"hybrid",NA
2005-11-15,"hybrid",NA
2005-12-15,"hybrid",NA
2006-01-15,"hybrid",NA
2006-02-15,"hybrid",NA
2006-03-15,"hybrid",NA
2006-04-15,"hybrid",NA
2006-05-15,"hybrid",NA
2006-06-15,"hybrid",NA
2006-07-15,"hybrid",NA
2006-08-15,"hybrid",NA
2006-09-15,"hybrid",NA
2006-10-15,"hybrid",NA
2006-11-15,"hybrid",NA
2006-12-15,"hybrid",NA
2007-01-15,"hybrid",NA
2007-02-15,"hybrid",NA
2007-03-15,"hybrid",NA
2007-04-15,"hybrid",NA
2007-05-15,"hybrid",NA
2007-06-15,"hybrid",NA
2007-07-15,"hybrid",NA
2007-08-15,"hybrid",NA
2007-09-15,"hybrid",NA
2007-10-15,"hybrid",NA
2007-11-15,"hybrid",NA
2007-12-15,"hybrid",NA
2008-01-15,"hybrid",NA
2008-02-15,"hybrid",NA
2008-03-15,"hybrid",NA
2008-04-15,"hybrid",NA
2008-05-15,"hybrid",NA
2008-06-15,"hybrid",NA
2008-07-15,"hybrid",NA
2008-08-15,"hybrid",NA
2008-09-15,"hybrid",NA
2008-10-15,"hybrid",NA
2008-11-15,"hybrid",NA
2008-12-15,"hybrid",NA
2009-01-15,"hybrid",NA
2009-02-15,"hybrid",NA
2009-03-15,"hybrid",NA
2009-04-15,"hybrid",NA
2009-05-15,"hybrid",NA
2009-06-15,"hybrid",NA
2009-07-15,"hybrid",NA
2009-08-15,"hybrid",NA
2009-09-15,"hybrid",NA
2009-10-15,"hybrid",NA
2009-11-15,"hybrid",NA
2009-12-15,"hybrid",NA
2010-01-15,"hybrid",NA
2010-02-15,"hybrid",NA
2010-03-15,"hybrid",NA
2010-04-15,"hybrid",NA
2010-05-15,"hybrid",NA
2010-06-15,"hybrid",NA
2010-07-15,"hybrid",NA
2010-08-15,"hybrid",NA
2010-09-15,"hybrid",NA
2010-10-15,"hybrid",NA
2010-11-15,"hybrid",NA
2010-12-15,"hybrid",NA
2011-01-15,"hybrid",NA
2011-02-15,"hybrid",NA
2011-03-15,"hybrid",NA
2011-04-15,"hybrid",NA
2011-05-15,"hybrid",NA
2011-06-15,"hybrid",NA
2011-07-15,"hybrid",NA
2011-08-15,"hybrid",NA
2011-09-15,"hybrid",NA
2011-10-15,"hybrid",NA
2011-11-15,"hybrid",NA
2011-12-15,"hybrid",NA
2012-01-15,"hybrid",17
2012-02-15,"hybrid",16
2012-03-15,"hybrid",28
2012-04-15,"hybrid",31
2012-05-15,"hybrid",31
2012-06-15,"hybrid",32
2012-07-15,"hybrid",33
2012-08-15,"hybrid",32
2012-09-15,"hybrid",31
2012-10-15,"hybrid",39
2012-11-15,"hybrid",36
2012-12-15,"hybrid",36
2013-01-15,"hybrid",39
2013-02-15,"hybrid",35
2013-03-15,"hybrid",29
2013-04-15,"hybrid",49
2013-05-15,"hybrid",45
2013-06-15,"hybrid",46
2013-07-15,"hybrid",46
2013-08-15,"hybrid",32
2013-09-15,"hybrid",25
2013-10-15,"hybrid",34
2013-11-15,"hybrid",32
2013-12-15,"hybrid",26
2014-01-15,"hybrid",29
2014-02-15,"hybrid",27
2014-03-15,"hybrid",29
2014-04-15,"hybrid",26
2014-05-15,"hybrid",18
2014-06-15,"hybrid",33
2014-07-15,"hybrid",20
2014-08-15,"hybrid",25
2014-09-15,"hybrid",40
2014-10-15,"hybrid",34
2014-11-15,"hybrid",56
2014-12-15,"hybrid",49
2005-01-15,"ostatní",NA
2005-02-15,"ostatní",NA
2005-03-15,"ostatní",NA
2005-04-15,"ostatní",NA
2005-05-15,"ostatní",NA
2005-06-15,"ostatní",NA
2005-07-15,"ostatní",NA
2005-08-15,"ostatní",NA
2005-09-15,"ostatní",NA
2005-10-15,"ostatní",NA
2005-11-15,"ostatní",NA
2005-12-15,"ostatní",NA
2006-01-15,"ostatní",NA
2006-02-15,"ostatní",NA
2006-03-15,"ostatní",NA
2006-04-15,"ostatní",NA
2006-05-15,"ostatní",NA
2006-06-15,"ostatní",NA
2006-07-15,"ostatní",NA
2006-08-15,"ostatní",NA
2006-09-15,"ostatní",NA
2006-10-15,"ostatní",NA
2006-11-15,"ostatní",NA
2006-12-15,"ostatní",NA
2007-01-15,"ostatní",213
2007-02-15,"ostatní",254
2007-03-15,"ostatní",359
2007-04-15,"ostatní",387
2007-05-15,"ostatní",395
2007-06-15,"ostatní",283
2007-07-15,"ostatní",310
2007-08-15,"ostatní",315
2007-09-15,"ostatní",239
2007-10-15,"ostatní",255
2007-11-15,"ostatní",270
2007-12-15,"ostatní",338
2008-01-15,"ostatní",304
2008-02-15,"ostatní",352
2008-03-15,"ostatní",428
2008-04-15,"ostatní",848
2008-05-15,"ostatní",699
2008-06-15,"ostatní",761
2008-07-15,"ostatní",841
2008-08-15,"ostatní",713
2008-09-15,"ostatní",605
2008-10-15,"ostatní",694
2008-11-15,"ostatní",464
2008-12-15,"ostatní",569
2009-01-15,"ostatní",399
2009-02-15,"ostatní",297
2009-03-15,"ostatní",309
2009-04-15,"ostatní",630
2009-05-15,"ostatní",501
2009-06-15,"ostatní",550
2009-07-15,"ostatní",485
2009-08-15,"ostatní",471
2009-09-15,"ostatní",442
2009-10-15,"ostatní",424
2009-11-15,"ostatní",360
2009-12-15,"ostatní",383
2010-01-15,"ostatní",308
2010-02-15,"ostatní",311
2010-03-15,"ostatní",398
2010-04-15,"ostatní",383
2010-05-15,"ostatní",409
2010-06-15,"ostatní",507
2010-07-15,"ostatní",339
2010-08-15,"ostatní",296
2010-09-15,"ostatní",293
2010-10-15,"ostatní",305
2010-11-15,"ostatní",351
2010-12-15,"ostatní",456
2011-01-15,"ostatní",295
2011-02-15,"ostatní",238
2011-03-15,"ostatní",375
2011-04-15,"ostatní",367
2011-05-15,"ostatní",388
2011-06-15,"ostatní",377
2011-07-15,"ostatní",307
2011-08-15,"ostatní",325
2011-09-15,"ostatní",302
2011-10-15,"ostatní",318
2011-11-15,"ostatní",275
2011-12-15,"ostatní",331
2012-01-15,"ostatní",256
2012-02-15,"ostatní",200
2012-03-15,"ostatní",285
2012-04-15,"ostatní",324
2012-05-15,"ostatní",321
2012-06-15,"ostatní",307
2012-07-15,"ostatní",81
2012-08-15,"ostatní",53
2012-09-15,"ostatní",528
2012-10-15,"ostatní",213
2012-11-15,"ostatní",178
2012-12-15,"ostatní",161
2013-01-15,"ostatní",136
2013-02-15,"ostatní",130
2013-03-15,"ostatní",178
2013-04-15,"ostatní",209
2013-05-15,"ostatní",200
2013-06-15,"ostatní",183
2013-07-15,"ostatní",154
2013-08-15,"ostatní",157
2013-09-15,"ostatní",169
2013-10-15,"ostatní",166
2013-11-15,"ostatní",150
2013-12-15,"ostatní",162
2014-01-15,"ostatní",148
2014-02-15,"ostatní",120
2014-03-15,"ostatní",143
2014-04-15,"ostatní",194
2014-05-15,"ostatní",183
2014-06-15,"ostatní",176
2014-07-15,"ostatní",191
2014-08-15,"ostatní",151
2014-09-15,"ostatní",152
2014-10-15,"ostatní",170
